OT,ESTATUS DE LA OT,TIEMPO DE EJECUCION,MANO OBRA,#SP,FECHA RECEPCION SP,TIEMPO DE COMPRA,ORDEN DE COMPRA,TIEMPO APROBACION,Estado Actual de la SP*,VALOR DE LA COMPRA DE LA SP,METODO_CRUCE_SP,DETALLE_CRUCE_SP,METODO_MANO_OBRA,DETALLE_MANO_OBRA,METODO_VALOR_COMPRA,DETALLE_VALOR_COMPRA
1,Marca temporal: 2025-09-05 11:24:13 | FECHA REAL ENTREGA: 2025-09-04 10:00:00,1.416666667,2297260.2,1,2025-12-23 0:00:00,,,,ENTREGADO,2723500,directo_matriz_ot,Matriz.OT=1; SPs encontrados=[1],directo_actividades_ot,12 actividades; 94.49 horas,directo_financiero_ot,OT=1; 1 filas en Hoja 1
2,Marca temporal: 2025-09-06 08:12:11 | FECHA REAL ENTREGA: 2025-09-25 07:00:00,19.29166667,1036592.39,18370,2025-09-05 0:00:00,,,,ENTREGADO,2723500,truco_sp_en_texto,SP 18370 extraida de comentarios/descripcion de la OT,directo_actividades_ot,8 actividades; 49.25 horas,directo_financiero_ot,OT=2; 1 filas en Hoja 1
3,Marca temporal: 2025-09-06 09:16:03 | FECHA REAL ENTREGA: ,,805324.83,1,2025-11-18 0:00:00,,,,ENTREGADO,,directo_matriz_ot,Matriz.OT=3; SPs encontrados=[1],directo_actividades_ot,8 actividades; 41.33 horas,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
4,Marca temporal: 2025-09-09 08:29:03 | FECHA REAL ENTREGA: 2025-09-11 07:00:00,2.291666667,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
5,Marca temporal: 2025-09-09 10:15:53 | FECHA REAL ENTREGA: 2025-09-16 10:00:00,7.416666667,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
6,Marca temporal: 2025-09-12 11:26:35 | FECHA REAL ENTREGA: ,,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
7,Marca temporal: 2025-09-12 14:15:31 | FECHA REAL ENTREGA: 2025-11-10 11:40:00,59.48611111,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
8,Marca temporal: 2025-09-15 08:55:22 | FECHA REAL ENTREGA: 2025-10-06 10:00:00,21.41666667,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
9,Marca temporal: 2025-09-17 11:21:21 | FECHA REAL ENTREGA: 2025-09-15 17:00:00,0.7083333333,208296,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,directo_actividades_ot,1 actividades; 9.0 horas,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
10,Marca temporal: 2025-09-17 11:25:18 | FECHA REAL ENTREGA: 2025-09-16 17:00:00,1.708333333,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
11,Marca temporal: 2025-09-17 11:27:05 | FECHA REAL ENTREGA: 2025-09-23 11:00:00,6.458333333,,,,,,,,,sin_cruce_sp,No hay OT en Matriz ni SP detectable en la OT,sin_actividades,No hay actividades con esta OT,sin_valor_compra,No hay fila en Hoja 1 por OT ni SP
